sequence_id,class_label,length,base_nll,patched_nll,delta_nll,relative_nll_degradation_pct,mean_kl,top1_agreement,nmse,explained_variance,diagnostic,interpolation_alpha
94,1,250,2.451967985733696,2.7050286696362402,0.25306068390254444,10.320717292188535,0.27484846115112305,0.4212598502635956,0.019225705415010452,0.9832506775856018,reconstruction,0.5
95,1,250,2.4573484880650938,2.6922477149209487,0.23489922685585496,9.559052287321839,0.27656090259552,0.4094488024711609,0.018926169723272324,0.9834017753601074,reconstruction,0.5
96,1,259,2.2137323044638597,2.6232847257424856,0.4095524212786259,18.50053958433853,0.4385162889957428,0.35741445422172546,0.019128406420350075,0.9830396771430969,reconstruction,0.5
97,1,250,2.379531076303113,2.6217253311820654,0.24219425487895263,10.17823458121129,0.29971224069595337,0.4330708682537079,0.019088974222540855,0.9830948114395142,reconstruction,0.5
98,1,255,2.373431065285853,2.8122719461603682,0.43884088087451545,18.489725161731716,0.40423038601875305,0.3667953610420227,0.019021615386009216,0.9830270409584045,reconstruction,0.5
99,1,248,2.5341935480733317,2.754225772690488,0.2200322246171562,8.68253432278051,0.18900486826896667,0.444444477558136,0.018775708973407745,0.9836757779121399,reconstruction,0.5
100,1,255,2.428283218265504,2.843219609223595,0.4149363909580912,17.087643971549404,0.3967779874801636,0.31660231947898865,0.01945231482386589,0.982700765132904,reconstruction,0.5
101,1,260,2.7266880514050618,2.821553161389021,0.09486510998395925,3.4791332266657817,0.1140679195523262,0.5227273106575012,0.014447939582169056,0.9861198663711548,reconstruction,0.5
102,1,295,2.3208278169567955,2.702221351981963,0.3813935350251674,16.433512742245256,0.3680477738380432,0.40133780241012573,0.019710395485162735,0.982463002204895,reconstruction,0.5
103,1,256,2.0914858077944016,2.5902120818502654,0.4987262740558638,23.845549044475746,0.4244162440299988,0.4346153736114502,0.018919380381703377,0.9830892086029053,reconstruction,0.5
104,1,208,2.717344745075533,2.8719953925688686,0.15465064749333557,5.691241340415083,0.12366822361946106,0.6273584961891174,0.013743724673986435,0.9868084788322449,reconstruction,0.5
105,1,251,2.402754655973179,2.6734595111035926,0.2707048551304134,11.266437647200013,0.3090493679046631,0.40392160415649414,0.01886587031185627,0.9833477735519409,reconstruction,0.5
106,1,250,2.4837091619318183,2.731709235270504,0.24800007333868557,9.985068990356028,0.2887488007545471,0.4015747904777527,0.019025521352887154,0.9833928942680359,reconstruction,0.5
107,1,251,2.4403076171875,2.6885193351685532,0.24821171798105324,10.171329066583905,0.2707598805427551,0.4392157196998596,0.018900349736213684,0.9832946062088013,reconstruction,0.5
108,1,287,2.55616455078125,2.7586867759967673,0.20252222521551744,7.922894680376498,0.16983860731124878,0.5567010641098022,0.016472425311803818,0.9843291640281677,reconstruction,0.5
109,1,263,2.463040918335879,2.723166100064615,0.260125181728736,10.561139272687607,0.23216447234153748,0.4344569444656372,0.019243575632572174,0.9831213355064392,reconstruction,0.5
110,1,233,2.299588736841234,2.864063327595339,0.5644745907541049,24.546762719384322,0.46286123991012573,0.26582276821136475,0.019765682518482208,0.9828490018844604,reconstruction,0.5
111,1,278,2.342685468680494,2.810187614685276,0.4675021460047821,19.955822164556324,0.4065006971359253,0.3581560254096985,0.019569704309105873,0.9826603531837463,reconstruction,0.5
112,1,250,2.451017719012475,2.6870107537672925,0.23599303475481737,9.62836918412405,0.3158845603466034,0.4173228442668915,0.019078660756349564,0.9831432104110718,reconstruction,0.5
113,1,251,2.4446540892593505,2.6885082815575787,0.24385419229822825,9.974997827692997,0.2922348082065582,0.4235294461250305,0.019154347479343414,0.9833003878593445,reconstruction,0.5
114,1,258,2.11503185988386,2.5714324132692767,0.4564005533854165,21.578897322637882,0.4855499267578125,0.3549618422985077,0.019271327182650566,0.9829367399215698,reconstruction,0.5
115,1,192,2.595931459084535,2.795840845352564,0.199909386268029,7.700873055351307,0.17654091119766235,0.5918367505073547,0.013752480037510395,0.9867077469825745,reconstruction,0.5
116,1,294,2.1713217789877945,2.6997477213541665,0.528425942366372,24.336602132398284,0.4734715223312378,0.39261746406555176,0.019936544820666313,0.9820204973220825,reconstruction,0.5
