latent_id,annotation,rank,n_positive,n_negative,activation_prevalence,mean_activation_positive,mean_activation_negative,point_biserial_r,point_biserial_p,auroc,fisher_odds_ratio,fisher_p,q_value,activation_threshold,fire_count_positive,fire_count_negative,any_active_positive,any_active_negative
80,has_ps00135,485,10760,27558,0.26123492875411036,0.06046063080430031,0.5053285956382751,-0.26000446808539274,0.0,0.3729155352239859,0.1707870880836513,1.0,1.0,0.0,0.0842936784029007,0.9520647525787354,0.07843866171003717,0.33260759126206546
81,has_ps00135,491,10760,27558,0.5406858395532126,0.3149458169937134,0.7485028505325317,-0.09145139299336538,5.891001103164532e-72,0.4492938549881008,0.6652359211624393,1.0,1.0,0.0,0.6586431264877319,1.404710054397583,0.46775092936802976,0.5691632193918281
82,has_ps00135,497,10760,27558,0.6741740174330602,0.5048131942749023,1.5496901273727417,-0.32650535115883345,0.0,0.3297402389714859,0.22493108318550395,1.0,1.0,0.0,1.5122677087783813,9.153421401977539,0.429275092936803,0.7697946149938312
83,has_ps00135,503,10760,27558,0.12383214155227308,0.029466822743415833,0.19570530951023102,-0.16456717301883048,9.01656930556992e-231,0.43968901615005435,0.2056809463680952,1.0,1.0,0.0,0.03736059367656708,1.1052325963974,0.0370817843866171,0.15770375208650844
84,has_ps00135,509,10760,27558,0.47799989561041806,0.25165465474128723,0.6190076470375061,-0.1490744819267578,2.8122485374161604e-189,0.41714945713683693,0.5073016813379226,1.0,1.0,0.0,0.4758364260196686,1.137274146080017,0.3588289962825279,0.5245300820088541
85,has_ps00135,515,10760,27558,0.32452111279294327,0.13692398369312286,0.408304363489151,-0.13282203910444443,2.4745956129205093e-150,0.43081047245808846,0.5086298536887067,1.0,1.0,0.0,0.43763941526412964,3.694789171218872,0.225,0.36337905508382323
87,has_ps00135,527,10760,27558,0.21960958296362024,0.06377886235713959,0.4504275321960449,-0.18965522653514355,3.5191942007110813e-307,0.41264469651166275,0.2822837832513429,1.0,1.0,0.0,0.10473977774381638,0.4884606897830963,0.09395910780669145,0.268669714783366
88,has_ps00135,533,10760,27558,0.2855316039459262,0.13387955725193024,0.39681506156921387,-0.11794303592199774,9.691828472614842e-119,0.440730159250473,0.5350763383667403,1.0,1.0,0.0,0.23847582936286926,0.5530880093574524,0.20027881040892193,0.3188184919079759
91,has_ps00135,551,10760,27558,0.16451798110548568,0.037261445075273514,0.4013240337371826,-0.171394482217816,1.989932052248845e-250,0.42930072997781493,0.2612151741998344,1.0,1.0,0.0,0.06635687500238419,0.6200740337371826,0.06282527881040892,0.204223818854779
93,has_ps00135,563,10760,27558,0.34680828853280443,0.13029219210147858,0.5657294988632202,-0.20823380887221202,0.0,0.3897295457421199,0.3353491334170266,1.0,1.0,0.0,0.2197026014328003,1.0422018766403198,0.18819702602230484,0.4087379345380652
94,has_ps00135,569,10760,27558,0.450388851192651,0.2444409430027008,0.7828499674797058,-0.17813749506860804,1.1327727245721092e-270,0.4013902682035132,0.43605552701132666,1.0,1.0,0.0,0.40343865752220154,0.9504318237304688,0.30855018587360594,0.5057696494665795
95,has_ps00135,575,10760,27558,0.8271569497364163,0.7575413584709167,1.1660237312316895,-0.10585244522550244,6.799848817972487e-96,0.4554688745682981,0.5588241543920056,1.0,1.0,0.0,2.381970167160034,4.296901226043701,0.7631040892193308,0.8521663400827346
96,has_ps00135,581,10760,27558,0.9526854219948849,1.1000187397003174,2.148683786392212,-0.13454584896177485,3.043852450677007e-154,0.4682176941582619,0.29598413252043704,1.0,1.0,0.0,5.714591026306152,14.749292373657227,0.9069702602230483,0.9705348719065244
100,has_ps00135,605,10760,27558,0.1658750456704421,0.026635639369487762,0.362304151058197,-0.20714500491876836,0.0,0.41427185947259326,0.16326670067521384,1.0,1.0,0.0,0.044516727328300476,0.44248494505882263,0.042565055762081784,0.21402133681689528
102,has_ps00135,617,10760,27558,0.26525392765801975,0.07639480382204056,0.5460835099220276,-0.2431103880156901,0.0,0.38058856467913166,0.20722035495329683,1.0,1.0,0.0,0.10789962857961655,0.8282894492149353,0.09349442379182156,0.3323172944335583
103,has_ps00135,623,10760,27558,0.2084138003027298,0.10752054303884506,0.32383623719215393,-0.08485983267547645,3.5299944927599466e-62,0.46165070641143213,0.6060894818065142,1.0,1.0,0.0,0.1744423806667328,0.7345961332321167,0.1532527881040892,0.22995137528122506
105,has_ps00135,635,10760,27558,0.24949110078814135,0.0907859057188034,0.37046828866004944,-0.13789757900483718,5.388079681559213e-162,0.4336096515331908,0.4527088993149929,1.0,1.0,0.0,0.19405204057693481,1.2730967998504639,0.15399628252788103,0.2867769794614994
106,has_ps00135,641,10760,27558,0.08839187849052664,0.014479923993349075,0.45077237486839294,-0.15222608187492795,2.2687897997311124e-197,0.45192246444201095,0.15037144047387044,1.0,1.0,0.0,0.01979553885757923,0.16804558038711548,0.019237918215613384,0.11539298933159155
109,has_ps00135,659,10760,27558,0.1745132835742993,0.05411672592163086,0.39663219451904297,-0.18280264131099017,3.6416319169512364e-285,0.4228040333183059,0.24331934576776806,1.0,1.0,0.0,0.06644981354475021,0.33365991711616516,0.06347583643122677,0.217867769794615
110,has_ps00135,665,10760,27558,0.1329923273657289,0.009818143211305141,0.2184535264968872,-0.22335083445598441,0.0,0.41561695427905887,0.05340566257495164,1.0,1.0,0.0,0.012360595166683197,1.0174903869628906,0.011617100371747211,0.18038319181362944
112,has_ps00135,677,10760,27558,0.29630982827913777,0.2253238707780838,0.473013699054718,-0.08549984367125045,4.2730068345825316e-63,0.4565617874946277,0.6464344617476538,1.0,1.0,0.0,0.25957247614860535,0.5960519909858704,0.23382899628252787,0.3207054212932724
115,has_ps00135,695,10760,27558,0.8669554778433113,0.9880979061126709,1.2028822898864746,-0.052227636135308564,1.4521947633307886e-24,0.4802648641553833,0.7215362034179765,1.0,1.0,0.0,1.9425650835037231,3.033456802368164,0.8385687732342008,0.8780390449234342
116,has_ps00135,701,10760,27558,0.28521843520016704,0.09024392813444138,0.6426194906234741,-0.21864058919738394,0.0,0.3901628866026665,0.2744466682023071,1.0,1.0,0.0,0.1351301074028015,0.9600479006767273,0.12723048327137546,0.3469047100660425
118,has_ps00135,713,10760,27558,0.39584529463959495,0.19294115900993347,0.5411154627799988,-0.16485991334411837,1.347478909298005e-231,0.4102995244096196,0.45164276314839363,1.0,1.0,0.0,0.3352230489253998,1.119384527206421,0.26682156133828994,0.4462225125190507
